"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hgz 1 Aguascalientes","Aguascalientes","IMSS","ASIMS000021","100"
"Hospital General Queretaro","Querétaro","SSA","QTSSA001752","100"
"Instituto Nacional de Pediatría","Ciudad de México","SSA/CC","DFSSA004014","100"
"Hgr 1 Queretaro","Querétaro","IMSS","QTIMS000092","100"
"Hosp. Gral. Renacimiento","Guerrero","SSA","GRSSA000034","100"
"Hospital Tlahuac","Ciudad de México","ISSSTE","DFIST001053","100"
"Hospital Militar Regional de Puebla Pue.","Puebla","SEDENA","PLSDN000015","100"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","100"
"Doctors Hospital","Nuevo León","SMP","NLSMP001085","100"
"Hospital Militar Regional de Mérida Yuc.","Yucatán","SEDENA","YNSDN000014","100"
"Hes 1 Merida","Yucatán","IMSS","YNIMS000071","100"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","100"
"Hgz 13 Matamoros","Tamaulipas","IMSS","TSIMS000211","100"
"Hgz 58 Las Margaritas","México","IMSS","MCIMS000734","100"
"Instituto Nacional de Cancerología","Ciudad de México","SSA/CC","DFSSA004043","100"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","100"
"Hg Tuxtepec","Oaxaca","SSA","OCSSA002146","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","100"
"Hgrmf 1 Cuernavaca","Morelos","IMSS","MSIMS000054","100"
"Hgz 15 Tehuacan","Puebla","IMSS","PLIMS000405","100"
"Hospital General Tijuana","Baja California","SSA","BCSSA000913","100"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","100"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","100"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","100"
"Centro de Alta Especialidad  Dr. Rafael Lucio","Veracruz de Ignacio de La Llave","SSA","VZSSA002965","100"
"Unidad Médica Regional de Atención A La Gestación Y Al Neonato","Hidalgo","SSA","HGSSA005003","100"
"Hgz No. 48 San Pedro Xalpa","Ciudad de México","IMSS","DFIMS000831","100"
"Hinfec Cm La Raza","Ciudad de México","IMSS","DFIMS000056","100"
"Hg Putla Amigo del Niño Y de La Madre","Oaxaca","SSA","OCSSA020655","100"
"Enfermería Militar de Temamatla Mex.","México","SEDENA","MCSDN000011","95"
"Hospital Central Militar","Ciudad de México","SEDENA","DFSDN000086","95"
"Hgr 6 Cd. Madero","Tamaulipas","IMSS","TSIMS000071","90"
"Hgz 1a Venados","Ciudad de México","IMSS","DFIMS000522","86"
"Hospital Militar de Especialidades de La Mujer Y Neonatologia","Ciudad de México","SEDENA","DFSDN000062","85"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","85"
"Centro Banamex","Ciudad de México","SSA","DFSSA004970","84"
"Merida","Yucatán","ISSSTE","YNIST000030","83"
"Toluca","México","ISSSTE","MCIST000215","83"
"Hgzmf 2 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000183","83"
"Centro Médico Naval","Ciudad de México","SEMAR","DFSMA000010","82"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","82"
"Christus Muguerza S.a. de C.v. /  Sucursal Sur","Nuevo León","SMP","NLSMP000105","80"
"Hospital General Regional No. 2 El Marques","Querétaro","IMSS","QTIMS000285","80"
"Hgr 1 V. Guerrero","Guerrero","IMSS","GRIMS000013","75"
"Hgz 30 Iztacalco","Ciudad de México","IMSS","DFIMS000324","75"
"Hgz 21 Tepatitlan","Jalisco","IMSS","JCIMS000914","75"
"H.g. Dr.salvador González Herrejon","México","SSA","MCSSA001011","75"
"Hospital General Tláhuac","Ciudad de México","SSA","DFSSA018154","75"
"Hospital Especializado de 30 Camas de Juchitan","Oaxaca","SSA","OCSSA007915","73"
"Hospital Militar de Zona de Ixcotel Oax.","Oaxaca","SEDENA","OCSDN000031","73"
"22/o. Batallón de   Infantería","Ciudad de México","SEDENA","DFSDN000103","73"
"Morelia","Michoacán de Ocampo","ISSSTE","MNIST000120","71"
"Hospital General Dr. Rubén Leñero","Ciudad de México","SSA","DFSSA003553","71"
"Hes Puebla","Puebla","IMSS","PLIMS000200","69"
"Hospital General Tehuacan","Puebla","SSA","PLSSA003663","67"
"Hgz No. 20","Puebla","IMSS","PLIMS000586","67"
"Centenario de La Revolucion Mexicana","Morelos","ISSSTE","MSIST000293","67"
"Christus Muguerza Sistemas Hospitalarios S. A. de C. V.","Nuevo León","SMP","NLSMP000040","67"
"Hospital Regional Universitario","Colima","SSA","CMSSA000125","67"
"Hospital Central Norte","Ciudad de México","PEMEX","DFPMX000012","67"
"Hospital General Acambaro Miguel Hidalgo","Guanajuato","SSA","GTSSA017414","67"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","63"
"Hospital General de Mazatlán","Sinaloa","SSA","SLSSA002585","62"
"Hospital Para El Niño Imiem","México","SME","MCSME000011","62"
"Hgz 197 Texcoco","México","IMSS","MCIMS000961","62"
"Hospital de Especialidades de La Ciudad de Mexico Dr. Belisario Domínguez","Ciudad de México","SSA","DFSSA004265","62"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","62"
"Hgr 72 Gustavo Baz","México","IMSS","MCIMS000746","62"
"Hospital General Dr. Enrique Cabrera","Ciudad de México","SSA","DFSSA017886","62"
"Hgr 180 Tlajomulco","Jalisco","IMSS","JCIMS001392","60"
"Hospital General Valle de Santiago","Guanajuato","SSA","GTSSA017385","60"
"Hgr Orizaba","Veracruz de Ignacio de La Llave","IMSS","VZIMS000733","60"
"Centenario Hospital Miguel Hidalgo","Aguascalientes","SSA","ASSSA001331","59"
"Hospital de Especialidades de La Mujer","Oaxaca","SSA","OCSSA007705","57"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","57"
"Hgz 50 Tangamanga","San Luis Potosí","IMSS","SPIMS000376","57"
