"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Rio Bravo","Tamaulipas","ISSSTE","TSIST000170","100"
"Hgzmf 8 Ensenada","Baja California","IMSS","BCIMS000011","100"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","100"
"Hgz 98 Coacalco","México","IMSS","MCIMS000080","100"
"Hgzmf 26 Tala","Jalisco","IMSS","JCIMS000803","100"
"Hgr 72 Gustavo Baz","México","IMSS","MCIMS000746","100"
"Hc Hospital Integral Comunitario Chalcatongo","Oaxaca","SSA","OCSSA000343","100"
"Hospital de Especialidades  Pediatrico León","Guanajuato","SSA","GTSSA017525","100"
"Hospital Regional de Alta Especialidad de La Península de Yucatán","Yucatán","SSA/CC","YNSSA013423","100"
"Hospital General Cadereyta","Querétaro","SSA","QTSSA000475","100"
"Hgz 4 Zamora","Michoacán de Ocampo","IMSS","MNIMS000506","100"
"Hospital Real San José S.c","Jalisco","SMP","JCSMP000313","100"
"Hgz 7 Lagos de Moreno","Jalisco","IMSS","JCIMS001264","100"
"Hgz 50 Tangamanga","San Luis Potosí","IMSS","SPIMS000376","100"
"Hgz 51 Chapala","Durango","IMSS","DGIMS000095","100"
"Hospital Materno Celaya","Guanajuato","SSA","GTSSA017530","100"
"Hospital Rural Los Hernandez","San Luis Potosí","IMSS-BIENESTAR","SPIMO002651","100"
"Hgzmf 24 Nueva Rosita","Coahuila de Zaragoza","IMSS","CLIMS000391","100"
"Hgz 1 Tlaxcala","Tlaxcala","IMSS","TLIMS000136","100"
"Instituto Nacional de Neurología Y Neurocirugía Manuel Velasco Suárez","Ciudad de México","SSA/CC","DFSSA004060","100"
"Hospital Militar Regional de Puebla Pue.","Puebla","SEDENA","PLSDN000015","100"
"Hospital Comunitario Cortazar","Guanajuato","SSA","GTSSA001121","100"
"Hes 71 Torreon","Coahuila de Zaragoza","IMSS","CLIMS000490","100"
"Hgz 3 Cancun","Quintana Roo","IMSS","QRIMS000060","100"
"Doctors Hospital","Nuevo León","SMP","NLSMP001085","100"
"Hgzmf 12 Lazaro Cardenas","Michoacán de Ocampo","IMSS","MNIMS000161","100"
"Pachuca (dr. Jesús del Rosal)","Hidalgo","SSA","HGSSA002570","100"
"Hg Dr. Javier Ramírez Topete","Chihuahua","SSA","CHSSA000570","100"
"Hospital General de Zona No 33","Nayarit","IMSS","NTIMS000342","100"
"Hospital General de Acatlán de Osorio","Puebla","SSA","PLSSA008572","100"
"Hgz 197 Texcoco","México","IMSS","MCIMS000961","100"
"Hospital General de San Luis Río Colorado","Sonora","SSA","SRSSA002085","100"
