"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Hgr 45 Guadalajara","Jalisco","IMSS","JCIMS000366","100"
"Hgr 1 Culiacán","Sinaloa","IMSS","SLIMS000131","100"
"Hgz 1a Venados","Ciudad de México","IMSS","DFIMS000522","100"
"Dr. Manuel Cardenas de La Vega","Sinaloa","ISSSTE","SLIST000085","100"
"Hgzmf 1 Tapachula","Chiapas","IMSS","CSIMS000205","100"
"Hg Oaxaca Dr. Aurelio Valdivieso","Oaxaca","SSA","OCSSA000985","100"
"Hospital General Ixtlahuaca Valentin Gómez Farías","México","SSA","MCSSA002872","100"
"Hospital Juárez de México","Ciudad de México","SSA/CC","DFSSA003944","92"
"Hinfec Cm La Raza","Ciudad de México","IMSS","DFIMS000056","88"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","80"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","78"
"H.g. Dr. Fernando Quiroz Gutiérrez","México","SSA","MCSSA008945","75"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","72"
"H.g. Dr. Nicolás San Juan","México","SSA","MCSSA007661","67"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","67"
"Hgr 72 Gustavo Baz","México","IMSS","MCIMS000746","64"
"Hgz 27 Tlatelolco","Ciudad de México","IMSS","DFIMS000621","50"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","50"
"Hgzmf 1 La Paz","Baja California Sur","IMSS","BSIMS000113","50"
"La Paz","Baja California Sur","ISSSTE","BSIST000330","50"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","50"
"Hosp. Gral. Renacimiento","Guerrero","SSA","GRSSA000034","50"
"Cd. Juarez","Chihuahua","ISSSTE","CHIST000112","50"
"H.g. Dr.salvador González Herrejon","México","SSA","MCSSA001011","50"
"Hgz 30 Iztacalco","Ciudad de México","IMSS","DFIMS000324","50"
