"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Santiago Juxtlahuaca","Oaxaca","IMSS-BIENESTAR","OCIMO004050","100"
"Hospital General de Sabinas Hidalgo","Nuevo León","SSA","NLSSA004990","100"
"Hospital General Regional No. 2 El Marques","Querétaro","IMSS","QTIMS000285","100"
"Dr. Aquiles Calles Ramirez","Nayarit","ISSSTE","NTIST000120","100"
"Hospital General Agustín O´horán","Yucatán","SSA","YNSSA000565","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Hospital Rural de Oportunidades No. 34","Oaxaca","IMSS-BIENESTAR","OCIMO003304","100"
"Hg Putla Amigo del Niño Y de La Madre","Oaxaca","SSA","OCSSA020655","100"
"Hgz 21 Tepatitlan","Jalisco","IMSS","JCIMS000914","100"
"Hospital General Tecomán Dr. José F. Rivas Guzmán","Colima","SSA","CMSSA001023","100"
"Xalapa","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000120","100"
"Leon","Guanajuato","ISSSTE","GTIST000091","100"
"Villa Ávila Camacho (la Ceiba)","Puebla","IMSS-BIENESTAR","PLIMO002803","100"
"Hg Juchitan Dr. Macedonio Benitez Fuentes","Oaxaca","SSA","OCSSA007693","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Matías Romero Avendaño","Oaxaca","IMSS-BIENESTAR","OCIMO000475","100"
"Hospital Naval de Mazatlan","Sinaloa","SEMAR","SLSMA000022","100"
"Hospital Universitario Dr. José Eleuterio González","Nuevo León","HUN","NLHUN000014","100"
"Hg Tehuantepec","Oaxaca","SSA","OCSSA018473","100"
"Hg Oaxaca Dr. Aurelio Valdivieso","Oaxaca","SSA","OCSSA000985","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","100"
"Christus Muguerza Sistemas Hospitalarios S. A. de C. V.","Nuevo León","SMP","NLSMP000040","100"
"Christus Muguerza Monterrey S. A. de C. V.","Nuevo León","SMP","NLSMP000052","100"
"Christus Muguerza Hospiales S.a. de C.v. / Sucursal Conchita","Nuevo León","SMP","NLSMP000064","100"
"Christus Muguerza S.a. de C.v. /  Sucursal Sur","Nuevo León","SMP","NLSMP000105","100"
"Hg Maravatio","Michoacán de Ocampo","SSA","MNSSA016475","100"
"Hgzmf 1 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000171","100"
"Hospital General de Gómez Palacio","Durango","SSA","DGSSA000676","100"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","100"
"Hospital Regional Cd. Madero","Tamaulipas","PEMEX","TSPMX000010","100"
"Tampico","Tamaulipas","ISSSTE","TSIST000182","100"
"Hospital Naval de Tampico","Tamaulipas","SEMAR","TSSMA000032","100"
"Doctors Hospital","Nuevo León","SMP","NLSMP001085","100"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","95"
"Hgz 6 Cd. Valles","San Luis Potosí","IMSS","SPIMS000072","90"
"Hgzmf 2 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000183","89"
"Hospital General 450","Durango","SSA","DGSSA017872","89"
"Fundacion Santos Y de La Garza Evia Ibp","Nuevo León","SMP","NLSMP000023","88"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","88"
"Hgr 1 Queretaro","Querétaro","IMSS","QTIMS000092","86"
"Acapulco","Guerrero","ISSSTE","GRIST000025","83"
"Hgr 110 Oblatos","Jalisco","IMSS","JCIMS000354","83"
"Hospital Real San José S.c","Jalisco","SMP","JCSMP000313","83"
"Hgz 11 Piedras Negras","Coahuila de Zaragoza","IMSS","CLIMS000251","80"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","80"
"Hospital Regional Poza Rica","Veracruz de Ignacio de La Llave","PEMEX","VZPMX000066","80"
"Hgzmf 2 Saltillo","Coahuila de Zaragoza","IMSS","CLIMS000333","80"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","79"
"Hgz 13 Matamoros","Tamaulipas","IMSS","TSIMS000211","78"
"Hospital General de Zona No. 10","Colima","IMSS","CMIMS000133","77"
"Hospital General de Teziutlán","Puebla","SSA","PLSSA008485","76"
"Dr. Miguel Trejo Ochoa","Colima","ISSSTE","CMIST000010","75"
"Hgz 1 Aguascalientes","Aguascalientes","IMSS","ASIMS000021","75"
"La Paz","Baja California Sur","ISSSTE","BSIST000330","75"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","74"
"Hgzmf 7 Monclova","Coahuila de Zaragoza","IMSS","CLIMS000111","73"
"Centro Banamex","Ciudad de México","SSA","DFSSA004970","73"
"Centro de Alta Especialidad  Dr. Rafael Lucio","Veracruz de Ignacio de La Llave","SSA","VZSSA002965","72"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","72"
"Hgzmf 1 La Paz","Baja California Sur","IMSS","BSIMS000113","71"
"Zacatecas","Zacatecas","ISSSTE","ZSIST000160","70"
"19 (extensión Hospital Pachuca)","Hidalgo","SSA","HGSSA005020","70"
"Centro Médico Naval","Ciudad de México","SEMAR","DFSMA000010","70"
"Hes Puebla","Puebla","IMSS","PLIMS000200","68"
"19","Guanajuato","SSA","GTSSA002101","67"
"Hgz 3 S. Juan del Rio","Querétaro","IMSS","QTIMS000186","67"
"Hospital General San Francisco","Nayarit","SSA","NTSSA002084","67"
"Hospital Militar de Zona de Guadalupe Zac.","Zacatecas","SEDENA","ZSSDN000016","67"
"Unidad Móvil Temporal Covid","Ciudad de México","IMSS","DFIMS001065","67"
"Celaya","Guanajuato","ISSSTE","GTIST000045","67"
"Hgs 5 Guerrero Negro","Baja California Sur","IMSS","BSIMS000072","67"
"Clínica A. I. R. Médica 2000 S.a. de C.v","Tabasco","SMP","TCSMP002315","67"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","65"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","64"
"Hgz 83 Morelia","Michoacán de Ocampo","IMSS","MNIMS000593","63"
"Hgr 72 Gustavo Baz","México","IMSS","MCIMS000746","63"
"Hospital General Tijuana","Baja California","SSA","BCSSA000913","63"
"Hg Cm La Raza","Ciudad de México","IMSS","DFIMS000061","62"
"Hospital Central Norte","Ciudad de México","PEMEX","DFPMX000012","62"
"Hgr Orizaba","Veracruz de Ignacio de La Llave","IMSS","VZIMS000733","61"
"Hospital Regional Villahermosa","Tabasco","PEMEX","TCPMX000014","61"
"Hgr 1 Culiacán","Sinaloa","IMSS","SLIMS000131","61"
"Hgz 3 Cancun","Quintana Roo","IMSS","QRIMS000060","60"
"Hgz 2 Cardenas","Tabasco","IMSS","TCIMS000022","60"
"Chilpancingo de Los Bravo","Guerrero","ISSSTE","GRIST000112","60"
"Hgz 1 Saltillo","Coahuila de Zaragoza","IMSS","CLIMS000321","60"
"Hospital Metropolitano","Nuevo León","SSA","NLSSA004046","59"
"Hgz 32 Villa Coapa","Ciudad de México","IMSS","DFIMS000126","59"
